Date.12,year,month,day,"Fe 62%, CFR "
2016-09-23,2016.0,9.0,23.0,145.18
2016-09-16,2016.0,9.0,16.0,145.0
2016-09-09,2016.0,9.0,9.0,150.12
2016-09-02,2016.0,9.0,2.0,151.26
2016-08-26,2016.0,8.0,26.0,155.1
2016-08-19,2016.0,8.0,19.0,154.92
2016-08-12,2016.0,8.0,12.0,153.94
2016-08-05,2016.0,8.0,5.0,155.44
2016-07-29,2016.0,7.0,29.0,150.46
2016-07-22,2016.0,7.0,22.0,145.66
2016-07-15,2016.0,7.0,15.0,149.44
2016-07-08,2016.0,7.0,8.0,144.2
2016-07-01,2016.0,7.0,1.0,141.56
2016-06-24,2016.0,6.0,24.0,135.68
2016-06-17,2016.0,6.0,17.0,135.36
2016-06-10,2016.0,6.0,10.0,137.54
2016-06-03,2016.0,6.0,3.0,132.42
2016-05-27,2016.0,5.0,27.0,134.44
2016-05-20,2016.0,5.0,20.0,143.1
2016-05-13,2016.0,5.0,13.0,143.16
2016-05-06,2016.0,5.0,6.0,154.02
2016-04-29,2016.0,4.0,29.0,160.94
2016-04-22,2016.0,4.0,22.0,162.9
2016-04-15,2016.0,4.0,15.0,150.6
2016-04-08,2016.0,4.0,8.0,142.14
2016-04-01,2016.0,4.0,1.0,142.44
2016-03-25,2016.0,3.0,25.0,148.72
2016-03-18,2016.0,3.0,18.0,143.24
2016-03-11,2016.0,3.0,11.0,153.16
2016-03-04,2016.0,3.0,4.0,136.4
2016-02-26,2016.0,2.0,26.0,134.12
2016-02-19,2016.0,2.0,19.0,127.02
2016-02-12,2016.0,2.0,12.0,122.76
2016-02-05,2016.0,2.0,5.0,122.1
2016-01-29,2016.0,1.0,29.0,116.48
2016-01-22,2016.0,1.0,22.0,117.22
2016-01-15,2016.0,1.0,15.0,114.34
2016-01-08,2016.0,1.0,8.0,119.06
2016-01-01,2016.0,1.0,1.0,118.3
2015-12-25,2015.0,12.0,25.0,114.54
2015-12-18,2015.0,12.0,18.0,111.86
2015-12-11,2015.0,12.0,11.0,110.44
2015-12-04,2015.0,12.0,4.0,115.84
2015-11-27,2015.0,11.0,27.0,121.48
2015-11-20,2015.0,11.0,20.0,125.0
2015-11-13,2015.0,11.0,13.0,129.38
2015-11-06,2015.0,11.0,6.0,130.88
2015-10-30,2015.0,10.0,30.0,133.78
2015-10-23,2015.0,10.0,23.0,138.12
2015-10-16,2015.0,10.0,16.0,142.68
2015-10-09,2015.0,10.0,9.0,141.56
2015-10-02,2015.0,10.0,2.0,144.36
2015-09-25,2015.0,9.0,25.0,145.9
2015-09-18,2015.0,9.0,18.0,148.06
2015-09-11,2015.0,9.0,11.0,148.74
2015-09-04,2015.0,9.0,4.0,146.0
2015-08-28,2015.0,8.0,28.0,141.14
2015-08-21,2015.0,8.0,21.0,145.78
2015-08-14,2015.0,8.0,14.0,146.14
2015-08-07,2015.0,8.0,7.0,145.06
2015-07-31,2015.0,7.0,31.0,141.3
2015-07-24,2015.0,7.0,24.0,136.76
2015-07-17,2015.0,7.0,17.0,133.78
2015-07-10,2015.0,7.0,10.0,131.22
2015-07-03,2015.0,7.0,3.0,149.3
2015-06-26,2015.0,6.0,26.0,156.24
2015-06-19,2015.0,6.0,19.0,157.72
2015-06-12,2015.0,6.0,12.0,162.9
2015-06-05,2015.0,6.0,5.0,160.78
2015-05-29,2015.0,5.0,29.0,157.5
2015-05-22,2015.0,5.0,22.0,150.66
2015-05-15,2015.0,5.0,15.0,157.84
2015-05-08,2015.0,5.0,8.0,152.56
2015-05-01,2015.0,5.0,1.0,149.14
2015-04-24,2015.0,4.0,24.0,140.72
2015-04-17,2015.0,4.0,17.0,133.26
2015-04-10,2015.0,4.0,10.0,128.62
2015-04-03,2015.0,4.0,3.0,133.32
2015-03-27,2015.0,3.0,27.0,143.0
2015-03-20,2015.0,3.0,20.0,145.4
2015-03-13,2015.0,3.0,13.0,148.98
2015-03-06,2015.0,3.0,6.0,155.5
2015-02-27,2015.0,2.0,27.0,159.12
2015-02-20,2015.0,2.0,20.0,160.82
2015-02-13,2015.0,2.0,13.0,157.48
2015-02-06,2015.0,2.0,6.0,157.94
2015-01-30,2015.0,1.0,30.0,159.24
2015-01-23,2015.0,1.0,23.0,167.9
2015-01-16,2015.0,1.0,16.0,170.84
2015-01-09,2015.0,1.0,9.0,175.34
2015-01-02,2015.0,1.0,2.0,174.2
2014-12-26,2014.0,12.0,26.0,167.52
2014-12-19,2014.0,12.0,19.0,170.32
2014-12-12,2014.0,12.0,12.0,171.54
2014-12-05,2014.0,12.0,5.0,174.62
2014-11-28,2014.0,11.0,28.0,172.92
2014-11-21,2014.0,11.0,21.0,176.34
2014-11-14,2014.0,11.0,14.0,184.72
2014-11-07,2014.0,11.0,7.0,186.72
2014-10-31,2014.0,10.0,31.0,191.9
2014-10-24,2014.0,10.0,24.0,195.1
2014-10-17,2014.0,10.0,17.0,197.68
2014-10-10,2014.0,10.0,10.0,192.86
2014-10-03,2014.0,10.0,3.0,190.64
2014-09-26,2014.0,9.0,26.0,191.8
2014-09-19,2014.0,9.0,19.0,200.68
2014-09-12,2014.0,9.0,12.0,198.88
2014-09-05,2014.0,9.0,5.0,205.12
2014-08-29,2014.0,8.0,29.0,210.08
2014-08-22,2014.0,8.0,22.0,217.34
2014-08-15,2014.0,8.0,15.0,221.32
2014-08-08,2014.0,8.0,8.0,223.98
2014-08-01,2014.0,8.0,1.0,224.9
2014-07-25,2014.0,7.0,25.0,222.5
2014-07-18,2014.0,7.0,18.0,228.58
2014-07-11,2014.0,7.0,11.0,225.68
2014-07-04,2014.0,7.0,4.0,223.22
2014-06-27,2014.0,6.0,27.0,221.98
2014-06-20,2014.0,6.0,20.0,214.64
2014-06-13,2014.0,6.0,13.0,218.58
2014-06-06,2014.0,6.0,6.0,220.26
2014-05-30,2014.0,5.0,30.0,226.68
2014-05-23,2014.0,5.0,23.0,230.24
2014-05-16,2014.0,5.0,16.0,238.3
2014-05-09,2014.0,5.0,9.0,243.86
2014-05-02,2014.0,5.0,2.0,247.86
2014-04-25,2014.0,4.0,25.0,258.38
2014-04-18,2014.0,4.0,18.0,267.12
2014-04-11,2014.0,4.0,11.0,269.88
2014-04-04,2014.0,4.0,4.0,266.06
2014-03-28,2014.0,3.0,28.0,256.98
2014-03-21,2014.0,3.0,21.0,252.32
2014-03-14,2014.0,3.0,14.0,248.66
2014-03-07,2014.0,3.0,7.0,264.4
2014-02-28,2014.0,2.0,28.0,269.22
2014-02-21,2014.0,2.0,21.0,279.98
2014-02-14,2014.0,2.0,14.0,276.12
2014-02-07,2014.0,2.0,7.0,277.9
2014-01-31,2014.0,1.0,31.0,280.2
2014-01-24,2014.0,1.0,24.0,282.7
2014-01-17,2014.0,1.0,17.0,293.64
2014-01-10,2014.0,1.0,10.0,298.16
2014-01-03,2014.0,1.0,3.0,302.1
2013-12-27,2013.0,12.0,27.0,298.38
2013-12-20,2013.0,12.0,20.0,299.6
2013-12-13,2013.0,12.0,13.0,310.3
2013-12-06,2013.0,12.0,6.0,309.66
2013-11-29,2013.0,11.0,29.0,306.46
2013-11-22,2013.0,11.0,22.0,306.44
2013-11-15,2013.0,11.0,15.0,306.44
2013-11-08,2013.0,11.0,8.0,305.82
2013-11-01,2013.0,11.0,1.0,298.04
2013-10-25,2013.0,10.0,25.0,299.84
2013-10-18,2013.0,10.0,18.0,301.86
2013-10-11,2013.0,10.0,11.0,297.7
2013-10-04,2013.0,10.0,4.0,295.82
2013-09-27,2013.0,9.0,27.0,300.76
2013-09-20,2013.0,9.0,20.0,297.46
2013-09-13,2013.0,9.0,13.0,305.74
2013-09-06,2013.0,9.0,6.0,309.76
2013-08-30,2013.0,8.0,30.0,314.78
2013-08-23,2013.0,8.0,23.0,311.44
2013-08-16,2013.0,8.0,16.0,316.92
2013-08-09,2013.0,8.0,9.0,300.3
2013-08-02,2013.0,8.0,2.0,294.62
2013-07-26,2013.0,7.0,26.0,298.66
2013-07-19,2013.0,7.0,19.0,294.06
2013-07-12,2013.0,7.0,12.0,282.02
2013-07-05,2013.0,7.0,5.0,275.92
2013-06-28,2013.0,6.0,28.0,264.42
2013-06-21,2013.0,6.0,21.0,271.08
2013-06-14,2013.0,6.0,14.0,258.06
2013-06-07,2013.0,6.0,7.0,263.36
2013-05-31,2013.0,5.0,31.0,264.5
2013-05-24,2013.0,5.0,24.0,281.42
2013-05-17,2013.0,5.0,17.0,287.3
2013-05-10,2013.0,5.0,10.0,296.26
2013-05-03,2013.0,5.0,3.0,296.66
2013-04-26,2013.0,4.0,26.0,305.44
2013-04-19,2013.0,4.0,19.0,312.2
2013-04-12,2013.0,4.0,12.0,315.0
2013-04-05,2013.0,4.0,5.0,306.86
2013-03-29,2013.0,3.0,29.0,306.6
2013-03-22,2013.0,3.0,22.0,301.62
2013-03-15,2013.0,3.0,15.0,312.72
2013-03-08,2013.0,3.0,8.0,328.82
2013-03-01,2013.0,3.0,1.0,336.62
2013-02-22,2013.0,2.0,22.0,349.42
2013-02-15,2013.0,2.0,15.0,344.78
2013-02-08,2013.0,2.0,8.0,343.86
2013-02-01,2013.0,2.0,1.0,335.3
2013-01-25,2013.0,1.0,25.0,329.42
2013-01-18,2013.0,1.0,18.0,327.42
2013-01-11,2013.0,1.0,11.0,346.04
2013-01-04,2013.0,1.0,4.0,330.34
2012-12-28,2012.0,12.0,28.0,310.76
2012-12-21,2012.0,12.0,21.0,303.64
2012-12-14,2012.0,12.0,14.0,285.96
2012-12-07,2012.0,12.0,7.0,272.14
2012-11-30,2012.0,11.0,30.0,269.24
2012-11-23,2012.0,11.0,23.0,274.26
2012-11-16,2012.0,11.0,16.0,278.8
2012-11-09,2012.0,11.0,9.0,276.94
2012-11-02,2012.0,11.0,2.0,275.02
2012-10-26,2012.0,10.0,26.0,272.82
2012-10-19,2012.0,10.0,19.0,265.28
2012-10-12,2012.0,10.0,12.0,267.76
2012-10-05,2012.0,10.0,5.0,245.92
2012-09-28,2012.0,9.0,28.0,245.86
2012-09-21,2012.0,9.0,21.0,252.14
2012-09-14,2012.0,9.0,14.0,233.4
2012-09-07,2012.0,9.0,7.0,211.84
2012-08-31,2012.0,8.0,31.0,219.14
2012-08-24,2012.0,8.0,24.0,243.62
2012-08-17,2012.0,8.0,17.0,259.68
2012-08-10,2012.0,8.0,10.0,268.22
2012-08-03,2012.0,8.0,3.0,270.48
2012-07-27,2012.0,7.0,27.0,273.74
2012-07-20,2012.0,7.0,20.0,291.86
2012-07-13,2012.0,7.0,13.0,304.52
2012-07-06,2012.0,7.0,6.0,304.48
2012-06-29,2012.0,6.0,29.0,306.46
2012-06-22,2012.0,6.0,22.0,307.92
2012-06-15,2012.0,6.0,15.0,303.32
2012-06-08,2012.0,6.0,8.0,300.26
2012-06-01,2012.0,6.0,1.0,301.4
2012-05-25,2012.0,5.0,25.0,296.46
2012-05-18,2012.0,5.0,18.0,302.78
2012-05-11,2012.0,5.0,11.0,316.88
2012-05-04,2012.0,5.0,4.0,325.64
2012-04-27,2012.0,4.0,27.0,326.54
2012-04-20,2012.0,4.0,20.0,329.82
2012-04-13,2012.0,4.0,13.0,330.46
2012-04-06,2012.0,4.0,6.0,327.98
2012-03-30,2012.0,3.0,30.0,326.7
2012-03-23,2012.0,3.0,23.0,322.1
2012-03-16,2012.0,3.0,16.0,323.2
2012-03-09,2012.0,3.0,9.0,319.62
2012-03-02,2012.0,3.0,2.0,318.06
2012-02-24,2012.0,2.0,24.0,308.3
2012-02-17,2012.0,2.0,17.0,311.22
2012-02-10,2012.0,2.0,10.0,321.08
2012-02-03,2012.0,2.0,3.0,316.84
2012-01-27,2012.0,1.0,27.0,311.36
2012-01-20,2012.0,1.0,20.0,313.3
2012-01-13,2012.0,1.0,13.0,315.94
2012-01-06,2012.0,1.0,6.0,311.18
2011-12-30,2011.0,12.0,30.0,307.26
2011-12-23,2011.0,12.0,23.0,301.46
2011-12-16,2011.0,12.0,16.0,305.24
2011-12-09,2011.0,12.0,9.0,312.4
2011-12-02,2011.0,12.0,2.0,302.4
2011-11-25,2011.0,11.0,25.0,317.36
2011-11-18,2011.0,11.0,18.0,320.36
2011-11-11,2011.0,11.0,11.0,295.34
2011-11-04,2011.0,11.0,4.0,275.16
2011-10-28,2011.0,10.0,28.0,289.9
2011-10-21,2011.0,10.0,21.0,330.96
2011-10-14,2011.0,10.0,14.0,358.86
2011-10-07,2011.0,10.0,7.0,371.4
2011-09-30,2011.0,9.0,30.0,374.14
2011-09-23,2011.0,9.0,23.0,384.4
2011-09-16,2011.0,9.0,16.0,388.9
2011-09-09,2011.0,9.0,9.0,394.16
2011-09-02,2011.0,9.0,2.0,392.36
2011-08-26,2011.0,8.0,26.0,389.8
2011-08-19,2011.0,8.0,19.0,386.94
2011-08-12,2011.0,8.0,12.0,386.88
2011-08-05,2011.0,8.0,5.0,387.46
2011-07-29,2011.0,7.0,29.0,383.52
2011-07-22,2011.0,7.0,22.0,380.5
2011-07-15,2011.0,7.0,15.0,378.2
2011-07-08,2011.0,7.0,8.0,372.68
2011-07-01,2011.0,7.0,1.0,367.36
2011-06-24,2011.0,6.0,24.0,373.62
2011-06-17,2011.0,6.0,17.0,380.06
2011-06-10,2011.0,6.0,10.0,375.96
2011-06-03,2011.0,6.0,3.0,374.16
2011-05-27,2011.0,5.0,27.0,378.54
2011-05-20,2011.0,5.0,20.0,386.72
2011-05-13,2011.0,5.0,13.0,392.12
2011-05-06,2011.0,5.0,6.0,397.32
2011-04-29,2011.0,4.0,29.0,393.08
2011-04-22,2011.0,4.0,22.0,391.26
2011-04-15,2011.0,4.0,15.0,395.76
2011-04-08,2011.0,4.0,8.0,384.6
2011-04-01,2011.0,4.0,1.0,372.94
2011-03-25,2011.0,3.0,25.0,363.56
2011-03-18,2011.0,3.0,18.0,361.12
2011-03-11,2011.0,3.0,11.0,376.46
2011-03-04,2011.0,3.0,4.0,390.8
2011-02-25,2011.0,2.0,25.0,404.78
2011-02-18,2011.0,2.0,18.0,414.08
2011-02-11,2011.0,2.0,11.0,402.94
2011-02-04,2011.0,2.0,4.0,399.82
2011-01-28,2011.0,1.0,28.0,400.5
2011-01-21,2011.0,1.0,21.0,394.88
2011-01-14,2011.0,1.0,14.0,379.48
2011-01-07,2011.0,1.0,7.0,370.82
2010-12-31,2010.0,12.0,31.0,367.92
2010-12-24,2010.0,12.0,24.0,368.46
2010-12-17,2010.0,12.0,17.0,367.74
2010-12-10,2010.0,12.0,10.0,360.7
2010-12-03,2010.0,12.0,3.0,357.3
2010-11-26,2010.0,11.0,26.0,353.72
2010-11-19,2010.0,11.0,19.0,347.18
2010-11-12,2010.0,11.0,12.0,342.9
2010-11-05,2010.0,11.0,5.0,331.3
2010-10-29,2010.0,10.0,29.0,326.34
2010-10-22,2010.0,10.0,22.0,330.1
2010-10-15,2010.0,10.0,15.0,328.92
2010-10-08,2010.0,10.0,8.0,314.62
2010-10-01,2010.0,10.0,1.0,310.92
2010-09-24,2010.0,9.0,24.0,305.24
2010-09-17,2010.0,9.0,17.0,307.48
2010-09-10,2010.0,9.0,10.0,311.92
2010-09-03,2010.0,9.0,3.0,315.36
2010-08-27,2010.0,8.0,27.0,321.96
2010-08-20,2010.0,8.0,20.0,326.04
2010-08-13,2010.0,8.0,13.0,319.78
2010-08-06,2010.0,8.0,6.0,310.98
2010-07-30,2010.0,7.0,30.0,298.82
2010-07-23,2010.0,7.0,23.0,274.62
2010-07-16,2010.0,7.0,16.0,266.94
2010-07-09,2010.0,7.0,9.0,281.34
2010-07-02,2010.0,7.0,2.0,304.08
2010-06-25,2010.0,6.0,25.0,315.96
2010-06-18,2010.0,6.0,18.0,319.02
2010-06-11,2010.0,6.0,11.0,322.12
2010-06-04,2010.0,6.0,4.0,314.48
2010-05-28,2010.0,5.0,28.0,311.8
2010-05-21,2010.0,5.0,21.0,343.46
2010-05-14,2010.0,5.0,14.0,371.84
2010-05-07,2010.0,5.0,7.0,380.5
