Date.10,year,month,day,target
2017-08-04,2017.0,8.0,4.0,1008.0
2017-07-28,2017.0,7.0,28.0,973.0
2017-07-21,2017.0,7.0,21.0,953.0
2017-07-14,2017.0,7.0,14.0,933.0
2017-07-07,2017.0,7.0,7.0,913.0
2017-06-30,2017.0,6.0,30.0,903.0
2017-06-23,2017.0,6.0,23.0,883.0
2017-06-16,2017.0,6.0,16.0,868.0
2017-06-09,2017.0,6.0,9.0,858.0
2017-06-02,2017.0,6.0,2.0,848.0
2017-05-26,2017.0,5.0,26.0,848.0
2017-05-19,2017.0,5.0,19.0,853.0
2017-05-12,2017.0,5.0,12.0,833.0
2017-05-05,2017.0,5.0,5.0,823.0
2017-04-28,2017.0,4.0,28.0,813.0
2017-04-21,2017.0,4.0,21.0,803.0
2017-04-14,2017.0,4.0,14.0,843.0
2017-04-07,2017.0,4.0,7.0,883.0
2017-03-31,2017.0,3.0,31.0,893.0
2017-03-24,2017.0,3.0,24.0,893.0
2017-03-17,2017.0,3.0,17.0,913.0
2017-03-10,2017.0,3.0,10.0,913.0
2017-03-03,2017.0,3.0,3.0,908.0
2017-02-24,2017.0,2.0,24.0,903.0
2017-02-17,2017.0,2.0,17.0,893.0
2017-02-10,2017.0,2.0,10.0,853.0
2017-02-03,2017.0,2.0,3.0,838.0
2017-01-27,2017.0,1.0,27.0,838.0
2017-01-20,2017.0,1.0,20.0,858.0
2017-01-13,2017.0,1.0,13.0,863.0
2017-01-06,2017.0,1.0,6.0,853.0
2016-12-23,2016.0,12.0,23.0,873.0
2016-12-16,2016.0,12.0,16.0,883.0
2016-12-09,2016.0,12.0,9.0,843.0
2016-12-02,2016.0,12.0,2.0,833.0
2016-11-25,2016.0,11.0,25.0,813.0
2016-11-18,2016.0,11.0,18.0,793.0
2016-11-11,2016.0,11.0,11.0,838.0
2016-11-04,2016.0,11.0,4.0,788.0
2016-10-28,2016.0,10.0,28.0,753.0
2016-10-21,2016.0,10.0,21.0,743.0
2016-10-14,2016.0,10.0,14.0,723.0
2016-10-07,2016.0,10.0,7.0,708.0
2016-09-30,2016.0,9.0,30.0,708.0
2016-09-23,2016.0,9.0,23.0,713.0
2016-09-16,2016.0,9.0,16.0,723.0
2016-09-09,2016.0,9.0,9.0,733.0
2016-09-02,2016.0,9.0,2.0,748.0
2016-08-26,2016.0,8.0,26.0,753.0
2016-08-19,2016.0,8.0,19.0,738.0
2016-08-12,2016.0,8.0,12.0,733.0
2016-08-05,2016.0,8.0,5.0,703.0
2016-07-29,2016.0,7.0,29.0,683.0
2016-07-22,2016.0,7.0,22.0,678.0
2016-07-15,2016.0,7.0,15.0,693.0
2016-07-08,2016.0,7.0,8.0,678.0
2016-07-01,2016.0,7.0,1.0,663.0
2016-06-24,2016.0,6.0,24.0,628.0
2016-06-17,2016.0,6.0,17.0,623.0
2016-06-10,2016.0,6.0,10.0,638.0
2016-06-03,2016.0,6.0,3.0,618.0
2016-05-27,2016.0,5.0,27.0,663.0
2016-05-20,2016.0,5.0,20.0,678.0
2016-05-13,2016.0,5.0,13.0,703.0
2016-05-06,2016.0,5.0,6.0,793.0
2016-04-29,2016.0,4.0,29.0,853.0
2016-04-22,2016.0,4.0,22.0,863.0
2016-04-15,2016.0,4.0,15.0,803.0
2016-04-08,2016.0,4.0,8.0,723.0
2016-04-01,2016.0,4.0,1.0,693.0
2016-03-25,2016.0,3.0,25.0,673.0
2016-03-18,2016.0,3.0,18.0,663.0
2016-03-11,2016.0,3.0,11.0,663.0
2016-03-04,2016.0,3.0,4.0,643.0
2016-02-26,2016.0,2.0,26.0,583.0
2016-02-19,2016.0,2.0,19.0,573.0
2016-02-12,2016.0,2.0,12.0,548.0
2016-02-05,2016.0,2.0,5.0,548.0
2016-01-29,2016.0,1.0,29.0,548.0
2016-01-22,2016.0,1.0,22.0,553.0
2016-01-15,2016.0,1.0,15.0,553.0
2016-01-08,2016.0,1.0,8.0,543.0
