Date.18,year,month,day,Price.2
2014-09-07,2014.0,9.0,7.0,16047.14
2014-08-31,2014.0,8.0,31.0,16414.94
2014-08-24,2014.0,8.0,24.0,16577.0
2014-08-17,2014.0,8.0,17.0,16452.44
2014-08-10,2014.0,8.0,10.0,16081.54
2014-08-03,2014.0,8.0,3.0,15842.48
2014-07-27,2014.0,7.0,27.0,16067.36
2014-07-20,2014.0,7.0,20.0,16311.9
2014-07-13,2014.0,7.0,13.0,16286.24
2014-07-06,2014.0,7.0,6.0,16421.56
2014-06-29,2014.0,6.0,29.0,16282.0
2014-06-22,2014.0,6.0,22.0,16136.42
2014-06-15,2014.0,6.0,15.0,15970.9
2014-06-08,2014.0,6.0,8.0,15792.64
2014-06-01,2014.0,6.0,1.0,15665.8
2014-05-25,2014.0,5.0,25.0,15623.46
2014-05-18,2014.0,5.0,18.0,15616.8
2014-05-11,2014.0,5.0,11.0,15363.7
2014-05-04,2014.0,5.0,4.0,15418.92
2014-04-27,2014.0,4.0,27.0,15512.8
2014-04-20,2014.0,4.0,20.0,15329.82
2014-04-13,2014.0,4.0,13.0,15520.14
2014-04-06,2014.0,4.0,6.0,15378.12
2014-03-30,2014.0,3.0,30.0,15338.18
2014-03-23,2014.0,3.0,23.0,15163.54
2014-03-16,2014.0,3.0,16.0,14791.36
2014-03-09,2014.0,3.0,9.0,14938.82
2014-03-02,2014.0,3.0,2.0,15022.9
2014-02-23,2014.0,2.0,23.0,15045.3
2014-02-16,2014.0,2.0,16.0,14930.08
2014-02-09,2014.0,2.0,9.0,14825.8
2014-02-02,2014.0,2.0,2.0,14575.86
2014-01-26,2014.0,1.0,26.0,14874.34
2014-01-19,2014.0,1.0,19.0,15076.16
2014-01-12,2014.0,1.0,12.0,14996.88
2014-01-05,2014.0,1.0,5.0,14962.98
2013-12-29,2013.0,12.0,29.0,15018.56
2013-12-22,2013.0,12.0,22.0,15092.48
2013-12-15,2013.0,12.0,15.0,14935.48
2013-12-08,2013.0,12.0,8.0,14859.08
2013-12-01,2013.0,12.0,1.0,14786.5
2013-11-24,2013.0,11.0,24.0,14821.12
2013-11-17,2013.0,11.0,17.0,14281.24
2013-11-10,2013.0,11.0,10.0,14409.5
2013-11-03,2013.0,11.0,3.0,14420.36
2013-10-27,2013.0,10.0,27.0,14736.3
2013-10-20,2013.0,10.0,20.0,14712.56
2013-10-13,2013.0,10.0,13.0,14858.78
2013-10-06,2013.0,10.0,6.0,14789.74
2013-09-29,2013.0,9.0,29.0,14896.96
2013-09-22,2013.0,9.0,22.0,14610.22
2013-09-15,2013.0,9.0,15.0,14549.66
2013-09-08,2013.0,9.0,8.0,14479.08
2013-09-01,2013.0,9.0,1.0,14437.32
2013-08-25,2013.0,8.0,25.0,14227.36
2013-08-18,2013.0,8.0,18.0,13921.3
2013-08-11,2013.0,8.0,11.0,14110.44
2013-08-04,2013.0,8.0,4.0,13962.72
2013-07-28,2013.0,7.0,28.0,14410.0
2013-07-21,2013.0,7.0,21.0,14447.46
2013-07-14,2013.0,7.0,14.0,14559.08
2013-07-07,2013.0,7.0,7.0,14460.1
2013-06-30,2013.0,6.0,30.0,13989.9
2013-06-23,2013.0,6.0,23.0,14062.62
2013-06-16,2013.0,6.0,16.0,13454.54
2013-06-09,2013.0,6.0,9.0,13725.36
2013-06-02,2013.0,6.0,2.0,13977.24
2013-05-26,2013.0,5.0,26.0,14267.92
2013-05-19,2013.0,5.0,19.0,14240.44
2013-05-12,2013.0,5.0,12.0,14488.16
2013-05-05,2013.0,5.0,5.0,14428.88
2013-04-28,2013.0,4.0,28.0,14114.34
2013-04-21,2013.0,4.0,21.0,13945.62
2013-04-14,2013.0,4.0,14.0,13785.16
2013-04-07,2013.0,4.0,7.0,13717.5
2013-03-31,2013.0,3.0,31.0,13874.86
2013-03-24,2013.0,3.0,24.0,13793.58
2013-03-17,2013.0,3.0,17.0,13658.16
2013-03-10,2013.0,3.0,10.0,13821.34
2013-03-03,2013.0,3.0,3.0,13964.32
2013-02-24,2013.0,2.0,24.0,13952.52
2013-02-17,2013.0,2.0,17.0,14000.26
2013-02-03,2013.0,2.0,3.0,13960.36
2013-01-27,2013.0,1.0,27.0,14024.28
2013-01-20,2013.0,1.0,20.0,13733.36
2013-01-13,2013.0,1.0,13.0,13896.88
2013-01-06,2013.0,1.0,6.0,14139.76
2012-12-30,2012.0,12.0,30.0,14155.44
2012-12-23,2012.0,12.0,23.0,13968.52
2012-12-16,2012.0,12.0,16.0,13639.48
2012-12-09,2012.0,12.0,9.0,13968.38
2012-12-02,2012.0,12.0,2.0,13960.8
2012-11-25,2012.0,11.0,25.0,13786.44
2012-11-18,2012.0,11.0,18.0,13369.28
2012-11-11,2012.0,11.0,11.0,13023.98
2012-11-04,2012.0,11.0,4.0,13405.64
2012-10-28,2012.0,10.0,28.0,13257.38
2012-10-21,2012.0,10.0,21.0,13144.92
2012-10-14,2012.0,10.0,14.0,13627.38
2012-10-07,2012.0,10.0,7.0,13716.32
2012-09-30,2012.0,9.0,30.0,14090.22
2012-09-23,2012.0,9.0,23.0,14229.62
2012-09-16,2012.0,9.0,16.0,14385.16
2012-09-09,2012.0,9.0,9.0,14343.8
2012-09-02,2012.0,9.0,2.0,13673.52
2012-08-26,2012.0,8.0,26.0,13616.08
2012-08-19,2012.0,8.0,19.0,13872.4
2012-08-12,2012.0,8.0,12.0,13893.06
2012-08-05,2012.0,8.0,5.0,13934.36
2012-07-29,2012.0,7.0,29.0,13343.06
2012-07-22,2012.0,7.0,22.0,13162.9
2012-07-15,2012.0,7.0,15.0,13370.88
2012-07-08,2012.0,7.0,8.0,13134.6
2012-07-01,2012.0,7.0,1.0,13591.04
2012-06-24,2012.0,6.0,24.0,13385.36
2012-06-17,2012.0,6.0,17.0,13197.36
2012-06-10,2012.0,6.0,10.0,13144.0
2012-06-03,2012.0,6.0,3.0,12738.0
2012-05-27,2012.0,5.0,27.0,12859.26
2012-05-20,2012.0,5.0,20.0,12838.56
2012-05-13,2012.0,5.0,13.0,12902.06
2012-05-06,2012.0,5.0,6.0,13199.3
2012-04-29,2012.0,4.0,29.0,13767.86
2012-04-22,2012.0,4.0,22.0,13606.68
2012-04-15,2012.0,4.0,15.0,13708.46
2012-04-08,2012.0,4.0,8.0,14303.8
2012-04-01,2012.0,4.0,1.0,14113.76
2012-03-25,2012.0,3.0,25.0,14588.4
2012-03-18,2012.0,3.0,18.0,14609.84
2012-03-11,2012.0,3.0,11.0,14669.36
2012-03-04,2012.0,3.0,4.0,14652.2
2012-02-26,2012.0,2.0,26.0,14916.7
2012-02-19,2012.0,2.0,19.0,14592.3
2012-02-12,2012.0,2.0,12.0,14465.06
2012-02-05,2012.0,2.0,5.0,14349.98
2012-01-29,2012.0,1.0,29.0,14104.92
2012-01-15,2012.0,1.0,15.0,13478.96
2012-01-08,2012.0,1.0,8.0,13345.78
2012-01-01,2012.0,1.0,1.0,13175.84
2011-12-25,2011.0,12.0,25.0,13005.7
2011-12-18,2011.0,12.0,18.0,13070.42
2011-12-11,2011.0,12.0,11.0,12545.14
2011-12-04,2011.0,12.0,4.0,12714.84
2011-11-27,2011.0,11.0,27.0,12998.5
2011-11-20,2011.0,11.0,20.0,12423.24
2011-11-13,2011.0,11.0,13.0,13075.86
2011-11-06,2011.0,11.0,6.0,13454.0
2011-10-30,2011.0,10.0,30.0,13834.78
2011-10-23,2011.0,10.0,23.0,13866.16
2011-10-16,2011.0,10.0,16.0,13146.8
2011-10-09,2011.0,10.0,9.0,13266.52
2011-10-02,2011.0,10.0,2.0,13087.3
2011-09-25,2011.0,9.0,25.0,12967.6
2011-09-18,2011.0,9.0,18.0,12662.72
2011-09-11,2011.0,9.0,11.0,13670.98
2011-09-04,2011.0,9.0,4.0,13865.16
2011-08-28,2011.0,8.0,28.0,14242.52
2011-08-21,2011.0,8.0,21.0,13482.1
2011-08-14,2011.0,8.0,14.0,13439.9
2011-08-07,2011.0,8.0,7.0,13914.58
2011-07-31,2011.0,7.0,31.0,14253.32
2011-07-24,2011.0,7.0,24.0,15949.88
2011-07-17,2011.0,7.0,17.0,16140.48
2011-07-10,2011.0,7.0,10.0,15847.2
2011-07-03,2011.0,7.0,3.0,16042.1
2011-06-26,2011.0,6.0,26.0,15803.1
2011-06-19,2011.0,6.0,19.0,15228.72
2011-06-12,2011.0,6.0,12.0,15601.54
2011-06-05,2011.0,6.0,5.0,15815.6
2011-05-29,2011.0,5.0,29.0,16191.06
2011-05-22,2011.0,5.0,22.0,15866.0
2011-05-15,2011.0,5.0,15.0,15931.5
2011-05-08,2011.0,5.0,8.0,16216.02
2011-05-01,2011.0,5.0,1.0,16170.3
2011-04-24,2011.0,4.0,24.0,16386.54
2011-04-17,2011.0,4.0,17.0,16369.88
2011-04-10,2011.0,4.0,10.0,15764.72
2011-04-03,2011.0,4.0,3.0,16035.92
2011-03-27,2011.0,3.0,27.0,15679.98
2011-03-20,2011.0,3.0,20.0,15373.26
2011-03-13,2011.0,3.0,13.0,15073.4
2011-03-06,2011.0,3.0,6.0,15188.72
2011-02-27,2011.0,2.0,27.0,15628.24
2011-02-20,2011.0,2.0,20.0,15269.38
2011-02-13,2011.0,2.0,13.0,15734.8
2011-02-06,2011.0,2.0,6.0,15328.78
2011-01-23,2011.0,1.0,23.0,15980.24
2011-01-16,2011.0,1.0,16.0,15544.28
2011-01-09,2011.0,1.0,9.0,15585.12
2011-01-02,2011.0,1.0,2.0,15253.74
2010-12-26,2010.0,12.0,26.0,15656.12
2010-12-19,2010.0,12.0,19.0,15558.26
2010-12-12,2010.0,12.0,12.0,15430.5
2010-12-05,2010.0,12.0,5.0,15239.44
2010-11-28,2010.0,11.0,28.0,15116.68
2010-11-21,2010.0,11.0,21.0,14711.7
2010-11-14,2010.0,11.0,14.0,14872.06
2010-11-07,2010.0,11.0,7.0,14894.76
2010-10-31,2010.0,10.0,31.0,15160.8
2010-10-24,2010.0,10.0,24.0,14718.26
2010-10-17,2010.0,10.0,17.0,14519.98
2010-10-10,2010.0,10.0,10.0,14564.42
2010-10-03,2010.0,10.0,3.0,14481.42
2010-09-26,2010.0,9.0,26.0,14347.18
2010-09-19,2010.0,9.0,19.0,14317.94
2010-09-12,2010.0,9.0,12.0,14151.12
2010-09-05,2010.0,9.0,5.0,13650.72
2010-08-29,2010.0,8.0,29.0,13606.6
2010-08-22,2010.0,8.0,22.0,13533.56
2010-08-15,2010.0,8.0,15.0,13724.48
2010-08-08,2010.0,8.0,8.0,13523.46
2010-08-01,2010.0,8.0,1.0,13708.82
2010-07-25,2010.0,7.0,25.0,13201.28
2010-07-18,2010.0,7.0,18.0,13183.92
2010-07-11,2010.0,7.0,11.0,12882.66
2010-07-04,2010.0,7.0,4.0,12983.76
2010-06-27,2010.0,6.0,27.0,12352.84
2010-06-20,2010.0,6.0,20.0,12581.34
2010-06-13,2010.0,6.0,13.0,12700.16
