Date,year,month,day,"product1, CFR market1"
2020-03-25,2020.0,3.0,25.0,808.0
2020-03-24,2020.0,3.0,24.0,818.0
2020-03-23,2020.0,3.0,23.0,843.0
2020-03-20,2020.0,3.0,20.0,843.0
2020-03-19,2020.0,3.0,19.0,843.0
2020-03-18,2020.0,3.0,18.0,843.0
2020-03-17,2020.0,3.0,17.0,843.0
2020-03-16,2020.0,3.0,16.0,843.0
2020-03-13,2020.0,3.0,13.0,843.0
2020-03-12,2020.0,3.0,12.0,860.0
2020-03-11,2020.0,3.0,11.0,858.0
2020-03-10,2020.0,3.0,10.0,858.0
2020-03-09,2020.0,3.0,9.0,863.0
2020-03-06,2020.0,3.0,6.0,866.0
2020-03-05,2020.0,3.0,5.0,868.0
2020-03-04,2020.0,3.0,4.0,858.0
2020-03-03,2020.0,3.0,3.0,863.0
2020-03-02,2020.0,3.0,2.0,863.0
2020-02-28,2020.0,2.0,28.0,863.0
2020-02-27,2020.0,2.0,27.0,868.0
2020-02-26,2020.0,2.0,26.0,868.0
2020-02-25,2020.0,2.0,25.0,857.0
2020-02-24,2020.0,2.0,24.0,857.0
2020-02-21,2020.0,2.0,21.0,857.0
2020-02-20,2020.0,2.0,20.0,857.0
2020-02-19,2020.0,2.0,19.0,868.0
2020-02-18,2020.0,2.0,18.0,871.0
2020-02-17,2020.0,2.0,17.0,878.0
2020-02-14,2020.0,2.0,14.0,878.0
2020-02-13,2020.0,2.0,13.0,878.0
2020-02-12,2020.0,2.0,12.0,868.0
2020-02-11,2020.0,2.0,11.0,868.0
2020-02-10,2020.0,2.0,10.0,868.0
2020-02-07,2020.0,2.0,7.0,868.0
2020-02-06,2020.0,2.0,6.0,878.0
2020-02-05,2020.0,2.0,5.0,883.0
2020-02-04,2020.0,2.0,4.0,893.0
2020-02-03,2020.0,2.0,3.0,903.0
2020-01-31,2020.0,1.0,31.0,903.0
2020-01-30,2020.0,1.0,30.0,908.0
2020-01-29,2020.0,1.0,29.0,908.0
2020-01-28,2020.0,1.0,28.0,908.0
2020-01-24,2020.0,1.0,24.0,918.0
2020-01-23,2020.0,1.0,23.0,918.0
2020-01-22,2020.0,1.0,22.0,918.0
2020-01-21,2020.0,1.0,21.0,918.0
2020-01-20,2020.0,1.0,20.0,918.0
2020-01-17,2020.0,1.0,17.0,918.0
2020-01-16,2020.0,1.0,16.0,931.0
2020-01-15,2020.0,1.0,15.0,931.0
2020-01-14,2020.0,1.0,14.0,923.0
2020-01-13,2020.0,1.0,13.0,918.0
2020-01-10,2020.0,1.0,10.0,918.0
2020-01-09,2020.0,1.0,9.0,918.0
2020-01-08,2020.0,1.0,8.0,918.0
2020-01-07,2020.0,1.0,7.0,918.0
2020-01-06,2020.0,1.0,6.0,918.0
2020-01-03,2020.0,1.0,3.0,918.0
2020-01-02,2020.0,1.0,2.0,920.0
2019-12-31,2019.0,12.0,31.0,926.0
2019-12-30,2019.0,12.0,30.0,926.0
2019-12-27,2019.0,12.0,27.0,926.0
2019-12-26,2019.0,12.0,26.0,926.0
2019-12-24,2019.0,12.0,24.0,926.0
2019-12-23,2019.0,12.0,23.0,926.0
2019-12-20,2019.0,12.0,20.0,926.0
2019-12-19,2019.0,12.0,19.0,926.0
2019-12-18,2019.0,12.0,18.0,926.0
2019-12-17,2019.0,12.0,17.0,924.0
2019-12-16,2019.0,12.0,16.0,924.0
2019-12-13,2019.0,12.0,13.0,923.0
2019-12-12,2019.0,12.0,12.0,913.0
2019-12-11,2019.0,12.0,11.0,913.0
2019-12-10,2019.0,12.0,10.0,909.0
2019-12-09,2019.0,12.0,9.0,906.0
2019-12-06,2019.0,12.0,6.0,906.0
2019-12-05,2019.0,12.0,5.0,903.0
2019-12-04,2019.0,12.0,4.0,903.0
2019-12-03,2019.0,12.0,3.0,903.0
2019-12-02,2019.0,12.0,2.0,903.0
2019-11-29,2019.0,11.0,29.0,888.0
2019-11-28,2019.0,11.0,28.0,883.0
2019-11-27,2019.0,11.0,27.0,883.0
2019-11-26,2019.0,11.0,26.0,880.0
2019-11-25,2019.0,11.0,25.0,873.0
2019-11-22,2019.0,11.0,22.0,873.0
2019-11-21,2019.0,11.0,21.0,863.0
2019-11-20,2019.0,11.0,20.0,858.0
2019-11-19,2019.0,11.0,19.0,858.0
2019-11-18,2019.0,11.0,18.0,858.0
2019-11-15,2019.0,11.0,15.0,858.0
2019-11-14,2019.0,11.0,14.0,858.0
2019-11-13,2019.0,11.0,13.0,848.0
2019-11-12,2019.0,11.0,12.0,843.0
2019-11-11,2019.0,11.0,11.0,843.0
2019-11-08,2019.0,11.0,8.0,843.0
2019-11-07,2019.0,11.0,7.0,843.0
2019-11-06,2019.0,11.0,6.0,838.0
2019-11-05,2019.0,11.0,5.0,833.0
2019-11-04,2019.0,11.0,4.0,833.0
2019-11-01,2019.0,11.0,1.0,833.0
2019-10-31,2019.0,10.0,31.0,838.0
2019-10-30,2019.0,10.0,30.0,838.0
2019-10-29,2019.0,10.0,29.0,831.0
2019-10-25,2019.0,10.0,25.0,831.0
2019-10-24,2019.0,10.0,24.0,831.0
2019-10-23,2019.0,10.0,23.0,836.0
2019-10-22,2019.0,10.0,22.0,836.0
2019-10-21,2019.0,10.0,21.0,838.0
2019-10-18,2019.0,10.0,18.0,828.0
2019-10-17,2019.0,10.0,17.0,828.0
2019-10-16,2019.0,10.0,16.0,828.0
2019-10-15,2019.0,10.0,15.0,823.0
2019-10-14,2019.0,10.0,14.0,821.0
2019-10-11,2019.0,10.0,11.0,821.0
2019-10-10,2019.0,10.0,10.0,818.0
2019-10-09,2019.0,10.0,9.0,828.0
2019-10-08,2019.0,10.0,8.0,828.0
2019-10-07,2019.0,10.0,7.0,828.0
2019-10-04,2019.0,10.0,4.0,828.0
2019-10-03,2019.0,10.0,3.0,828.0
2019-10-02,2019.0,10.0,2.0,828.0
2019-10-01,2019.0,10.0,1.0,828.0
2019-09-30,2019.0,9.0,30.0,834.0
2019-09-27,2019.0,9.0,27.0,834.0
2019-09-26,2019.0,9.0,26.0,841.0
2019-09-25,2019.0,9.0,25.0,841.0
2019-09-24,2019.0,9.0,24.0,841.0
2019-09-23,2019.0,9.0,23.0,843.0
2019-09-20,2019.0,9.0,20.0,848.0
2019-09-19,2019.0,9.0,19.0,853.0
2019-09-18,2019.0,9.0,18.0,858.0
2019-09-17,2019.0,9.0,17.0,858.0
2019-09-16,2019.0,9.0,16.0,858.0
2019-09-13,2019.0,9.0,13.0,860.0
2019-09-12,2019.0,9.0,12.0,860.0
2019-09-11,2019.0,9.0,11.0,861.0
2019-09-10,2019.0,9.0,10.0,863.0
2019-09-09,2019.0,9.0,9.0,876.0
2019-09-06,2019.0,9.0,6.0,876.0
2019-09-05,2019.0,9.0,5.0,876.0
2019-09-04,2019.0,9.0,4.0,878.0
2019-09-03,2019.0,9.0,3.0,883.0
2019-09-02,2019.0,9.0,2.0,883.0
2019-08-30,2019.0,8.0,30.0,878.0
2019-08-29,2019.0,8.0,29.0,898.0
2019-08-28,2019.0,8.0,28.0,908.0
2019-08-27,2019.0,8.0,27.0,908.0
2019-08-26,2019.0,8.0,26.0,913.0
2019-08-23,2019.0,8.0,23.0,913.0
2019-08-22,2019.0,8.0,22.0,918.0
2019-08-21,2019.0,8.0,21.0,918.0
2019-08-20,2019.0,8.0,20.0,918.0
2019-08-19,2019.0,8.0,19.0,923.0
2019-08-16,2019.0,8.0,16.0,918.0
2019-08-15,2019.0,8.0,15.0,918.0
2019-08-14,2019.0,8.0,14.0,921.0
2019-08-13,2019.0,8.0,13.0,923.0
2019-08-08,2019.0,8.0,8.0,923.0
2019-08-07,2019.0,8.0,7.0,931.0
2019-08-06,2019.0,8.0,6.0,933.0
2019-08-05,2019.0,8.0,5.0,938.0
2019-08-02,2019.0,8.0,2.0,938.0
2019-08-01,2019.0,8.0,1.0,943.0
2019-07-31,2019.0,7.0,31.0,941.0
2019-07-30,2019.0,7.0,30.0,941.0
2019-07-29,2019.0,7.0,29.0,941.0
2019-07-26,2019.0,7.0,26.0,941.0
2019-07-25,2019.0,7.0,25.0,943.0
2019-07-24,2019.0,7.0,24.0,936.0
2019-07-23,2019.0,7.0,23.0,936.0
2019-07-22,2019.0,7.0,22.0,936.0
2019-07-19,2019.0,7.0,19.0,936.0
2019-07-18,2019.0,7.0,18.0,938.0
2019-07-17,2019.0,7.0,17.0,938.0
2019-07-16,2019.0,7.0,16.0,938.0
2019-07-15,2019.0,7.0,15.0,943.0
2019-07-12,2019.0,7.0,12.0,943.0
2019-07-11,2019.0,7.0,11.0,948.0
2019-07-10,2019.0,7.0,10.0,958.0
2019-07-09,2019.0,7.0,9.0,958.0
2019-07-08,2019.0,7.0,8.0,955.0
2019-07-05,2019.0,7.0,5.0,955.0
2019-07-04,2019.0,7.0,4.0,953.0
2019-07-03,2019.0,7.0,3.0,953.0
2019-07-02,2019.0,7.0,2.0,953.0
2019-07-01,2019.0,7.0,1.0,943.0
2019-06-28,2019.0,6.0,28.0,943.0
2019-06-27,2019.0,6.0,27.0,938.0
2019-06-26,2019.0,6.0,26.0,939.0
2019-06-25,2019.0,6.0,25.0,948.0
2019-06-24,2019.0,6.0,24.0,948.0
2019-06-21,2019.0,6.0,21.0,948.0
2019-06-20,2019.0,6.0,20.0,948.0
2019-06-19,2019.0,6.0,19.0,948.0
2019-06-18,2019.0,6.0,18.0,948.0
2019-06-17,2019.0,6.0,17.0,948.0
2019-06-14,2019.0,6.0,14.0,943.0
2019-06-13,2019.0,6.0,13.0,948.0
2019-06-12,2019.0,6.0,12.0,948.0
2019-06-11,2019.0,6.0,11.0,950.0
2019-06-10,2019.0,6.0,10.0,958.0
2019-06-07,2019.0,6.0,7.0,943.0
2019-06-06,2019.0,6.0,6.0,943.0
2019-06-04,2019.0,6.0,4.0,943.0
2019-06-03,2019.0,6.0,3.0,943.0
2019-05-31,2019.0,5.0,31.0,943.0
2019-05-30,2019.0,5.0,30.0,948.0
2019-05-29,2019.0,5.0,29.0,948.0
2019-05-28,2019.0,5.0,28.0,948.0
2019-05-27,2019.0,5.0,27.0,948.0
2019-05-24,2019.0,5.0,24.0,948.0
2019-05-23,2019.0,5.0,23.0,948.0
2019-05-22,2019.0,5.0,22.0,938.0
2019-05-21,2019.0,5.0,21.0,938.0
2019-05-17,2019.0,5.0,17.0,938.0
2019-05-16,2019.0,5.0,16.0,943.0
2019-05-15,2019.0,5.0,15.0,943.0
2019-05-14,2019.0,5.0,14.0,948.0
2019-05-13,2019.0,5.0,13.0,948.0
2019-05-10,2019.0,5.0,10.0,948.0
2019-05-09,2019.0,5.0,9.0,948.0
2019-05-08,2019.0,5.0,8.0,950.0
2019-05-07,2019.0,5.0,7.0,958.0
2019-05-06,2019.0,5.0,6.0,958.0
2019-05-03,2019.0,5.0,3.0,963.0
2019-05-02,2019.0,5.0,2.0,963.0
2019-04-30,2019.0,4.0,30.0,965.0
2019-04-29,2019.0,4.0,29.0,968.0
2019-04-26,2019.0,4.0,26.0,968.0
2019-04-25,2019.0,4.0,25.0,968.0
2019-04-24,2019.0,4.0,24.0,973.0
2019-04-23,2019.0,4.0,23.0,973.0
2019-04-22,2019.0,4.0,22.0,973.0
2019-04-18,2019.0,4.0,18.0,973.0
2019-04-17,2019.0,4.0,17.0,973.0
2019-04-16,2019.0,4.0,16.0,973.0
2019-04-15,2019.0,4.0,15.0,973.0
2019-04-12,2019.0,4.0,12.0,978.0
2019-04-11,2019.0,4.0,11.0,978.0
2019-04-10,2019.0,4.0,10.0,983.0
2019-04-09,2019.0,4.0,9.0,988.0
2019-04-08,2019.0,4.0,8.0,993.0
2019-04-05,2019.0,4.0,5.0,988.0
2019-04-04,2019.0,4.0,4.0,993.0
2019-04-03,2019.0,4.0,3.0,993.0
2019-04-02,2019.0,4.0,2.0,993.0
2019-04-01,2019.0,4.0,1.0,998.0
2019-03-29,2019.0,3.0,29.0,1003.0
2019-03-28,2019.0,3.0,28.0,1003.0
2019-03-27,2019.0,3.0,27.0,1003.0
2019-03-26,2019.0,3.0,26.0,1003.0
2019-03-25,2019.0,3.0,25.0,1013.0
