Date.1,year,month,day,"product1 country1, EXW"
2020-06-15,2020.0,6.0,15.0,972.10662
2020-06-12,2020.0,6.0,12.0,970.402
2020-06-11,2020.0,6.0,11.0,972.8256
2020-06-10,2020.0,6.0,10.0,973.37008
2020-06-09,2020.0,6.0,9.0,974.03136
2020-06-08,2020.0,6.0,8.0,974.83056
2020-06-05,2020.0,6.0,5.0,973.41198
2020-06-04,2020.0,6.0,4.0,969.66906
2020-06-03,2020.0,6.0,3.0,968.95644
2020-06-02,2020.0,6.0,2.0,965.20854
2020-06-01,2020.0,6.0,1.0,961.7529
2020-05-29,2020.0,5.0,29.0,952.11504
2020-05-28,2020.0,5.0,28.0,942.571
2020-05-27,2020.0,5.0,27.0,939.6395
2020-05-26,2020.0,5.0,26.0,946.79104
2020-05-25,2020.0,5.0,25.0,946.56936
2020-05-22,2020.0,5.0,22.0,950.19576
2020-05-21,2020.0,5.0,21.0,952.1316
2020-05-20,2020.0,5.0,20.0,954.95688
2020-05-19,2020.0,5.0,19.0,951.4072
2020-05-18,2020.0,5.0,18.0,947.251
2020-05-15,2020.0,5.0,15.0,922.86232
2020-05-14,2020.0,5.0,14.0,923.66496
2020-05-13,2020.0,5.0,13.0,921.2685
2020-05-12,2020.0,5.0,12.0,919.61668
2020-05-11,2020.0,5.0,11.0,917.62592
2020-05-08,2020.0,5.0,8.0,920.7408
2020-05-07,2020.0,5.0,7.0,916.5677
2020-05-06,2020.0,5.0,6.0,911.28624
2020-04-30,2020.0,4.0,30.0,908.06328
2020-04-29,2020.0,4.0,29.0,903.43264
2020-04-28,2020.0,4.0,28.0,905.925
2020-04-27,2020.0,4.0,27.0,905.0907
2020-04-24,2020.0,4.0,24.0,905.6469
2020-04-23,2020.0,4.0,23.0,907.51944
2020-04-22,2020.0,4.0,22.0,899.72854
2020-04-21,2020.0,4.0,21.0,909.7172
2020-04-20,2020.0,4.0,20.0,909.5064
2020-04-17,2020.0,4.0,17.0,903.88848
2020-04-16,2020.0,4.0,16.0,900.25044
2020-04-15,2020.0,4.0,15.0,901.7486
2020-04-14,2020.0,4.0,14.0,904.0204
2020-04-13,2020.0,4.0,13.0,900.76092
2020-04-10,2020.0,4.0,10.0,894.27144
2020-04-09,2020.0,4.0,9.0,887.7196
2020-04-08,2020.0,4.0,8.0,882.132
2020-04-07,2020.0,4.0,7.0,887.39452
2020-04-03,2020.0,4.0,3.0,887.44182
